,random_speed,random_speed2,random_clearance,random_jerk,random_max_a_x,random_min_a_x,random_min_a,speed_gap_between_leader
0,28.79,20.1,11.13,18.92,3.4,-3.5,-0.17,2.45
1,27.81,22.2,4.16,26.81,2.83,-5.47,-0.14,3.4
2,30.6,20.34,6.82,18.09,2.03,-3.51,-0.17,1.98
3,29.86,20.06,7.01,28.7,2.0,-5.25,-0.17,1.07
4,29.71,22.16,9.95,23.74,3.04,-5.49,-0.97,2.75
5,32.04,21.14,6.85,11.73,1.74,-3.88,-0.72,3.85
6,29.76,20.33,7.77,13.91,2.49,-4.28,-0.68,3.21
7,32.4,20.42,9.82,13.97,2.87,-4.22,-0.92,2.11
8,32.2,20.23,10.54,25.97,2.91,-3.67,-0.15,3.84
9,27.84,21.05,9.72,13.59,1.71,-4.98,-0.38,1.26
10,29.41,20.96,9.8,26.18,1.77,-4.81,-0.83,1.43
11,32.49,21.57,10.43,24.41,3.13,-4.53,-0.85,1.71
12,33.15,20.45,8.36,28.9,2.4,-3.95,-0.73,1.01
13,30.98,20.16,9.29,20.63,3.12,-4.84,-0.19,2.55
14,33.21,21.24,5.33,18.84,3.41,-5.49,-0.09,1.35
15,28.24,20.05,5.68,17.31,2.73,-4.95,-0.8,1.23
16,32.86,21.27,7.78,16.09,3.08,-3.74,-0.07,3.16
17,32.23,22.09,6.85,12.48,2.06,-5.02,-0.3,3.7
18,30.07,22.16,8.74,13.36,2.72,-4.19,-0.05,2.37
19,33.3,21.83,8.6,26.12,1.53,-5.41,-0.91,1.15
