,time,vehicle_id,x,y,v_x,v_y,a_x,a_y,heading_angle
0,0.01,car.forward,284.4580902760775,-4.8,22.22,0.0,0.0,0.0,90.0
1,0.02,car.forward,284.68028809997156,-4.8,22.22,0.0,0.0,0.0,90.0
2,0.03,car.forward,284.90248592386564,-4.8,22.22,0.0,0.0,0.0,90.0
3,0.04,car.forward,285.12468374775966,-4.8,22.22,0.0,0.0,0.0,90.0
4,0.05,car.forward,285.34688157165374,-4.8,22.22,0.0,0.0,0.0,90.0
5,0.06,car.forward,285.5690793955478,-4.8,22.22,0.0,0.0,0.0,90.0
6,0.07,car.forward,285.79127721944184,-4.8,22.22,0.0,0.0,0.0,90.0
7,0.08,car.forward,286.0134750433359,-4.8,22.22,0.0,0.0,0.0,90.0
8,0.09,car.forward,286.23567286723,-4.8,22.22,0.0,0.0,0.0,90.0
9,0.1,car.forward,286.457870691124,-4.8,22.22,0.0,0.0,0.0,90.0
10,0.11,car.forward,286.6800685150181,-4.8,22.22,0.0,0.0,0.0,90.0
11,0.12,car.forward,286.90226633891217,-4.8,22.22,0.0,0.0,0.0,90.0
12,0.13,car.forward,287.12446416280625,-4.8,22.22,0.0,0.0,0.0,90.0
13,0.14,car.forward,287.34666198670027,-4.8,22.22,0.0,0.0,0.0,90.0
14,0.15,car.forward,287.56885981059435,-4.8,22.22,0.0,0.0,0.0,90.0
15,0.16,car.forward,287.7910576344884,-4.8,22.22,0.0,0.0,0.0,90.0
16,0.17,car.forward,288.01325545838245,-4.8,22.22,0.0,0.0,0.0,90.0
17,0.18,car.forward,288.2354532822765,-4.8,22.22,0.0,0.0,0.0,90.0
18,0.19,car.forward,288.4576511061706,-4.8,22.22,0.0,0.0,0.0,90.0
19,0.2,car.forward,288.6798489300646,-4.8,22.22,0.0,0.0,0.0,90.0
20,0.21,car.forward,288.9020467539587,-4.8,22.22,0.0,0.0,0.0,90.0
21,0.22,car.forward,289.1242445778528,-4.8,22.22,0.0,0.0,0.0,90.0
22,0.23,car.forward,289.3464424017468,-4.8,22.22,0.0,0.0,0.0,90.0
23,0.24,car.forward,289.5686402256409,-4.8,22.22,0.0,0.0,0.0,90.0
24,0.25,car.forward,289.79083804953495,-4.8,22.22,0.0,0.0,0.0,90.0
25,0.26,car.forward,290.01303587342903,-4.8,22.22,0.0,0.0,0.0,90.0
26,0.27,car.forward,290.23523369732305,-4.8,22.22,0.0,0.0,0.0,90.0
27,0.28,car.forward,290.45743152121713,-4.8,22.22,0.0,0.0,0.0,90.0
28,0.29,car.forward,290.6796293451112,-4.8,22.22,0.0,0.0,0.0,90.0
29,0.3,car.forward,290.90182716900523,-4.8,22.22,0.0,0.0,0.0,90.0
30,0.31,car.forward,291.1240249928993,-4.8,22.22,0.0,0.0,0.0,90.0
31,0.32,car.forward,291.3462228167934,-4.8,22.22,0.0,0.0,0.0,90.0
32,0.33,car.forward,291.5684206406874,-4.8,22.22,0.0,0.0,0.0,90.0
33,0.34,car.forward,291.7906184645815,-4.8,22.22,0.0,0.0,0.0,90.0
34,0.35,car.forward,292.01281628847556,-4.8,22.22,0.0,0.0,0.0,90.0
35,0.36,car.forward,292.23501411236964,-4.8,22.22,0.0,0.0,0.0,90.0
36,0.37,car.forward,292.45721193626366,-4.8,22.22,0.0,0.0,0.0,90.0
37,0.38,car.forward,292.67940976015774,-4.8,22.22,0.0,0.0,0.0,90.0
38,0.39,car.forward,292.9016075840518,-4.8,22.22,0.0,0.0,0.0,90.0
39,0.4,car.forward,293.12380540794584,-4.8,22.22,0.0,0.0,0.0,90.0
40,0.41,car.forward,293.3460032318399,-4.8,22.22,0.0,0.0,0.0,90.0
41,0.42,car.forward,293.568201055734,-4.8,22.22,0.0,0.0,0.0,90.0
42,0.43,car.forward,293.790398879628,-4.8,22.22,0.0,0.0,0.0,90.0
43,0.44,car.forward,294.0125967035221,-4.8,22.22,0.0,0.0,0.0,90.0
44,0.45,car.forward,294.23479452741617,-4.8,22.22,0.0,0.0,0.0,90.0
45,0.46,car.forward,294.45699235131025,-4.8,22.22,0.0,0.0,0.0,90.0
46,0.47,car.forward,294.67919017520427,-4.8,22.22,0.0,0.0,0.0,90.0
47,0.48,car.forward,294.90138799909835,-4.8,22.22,0.0,0.0,0.0,90.0
48,0.49,car.forward,295.1235858229924,-4.8,22.22,0.0,0.0,0.0,90.0
49,0.5,car.forward,295.34578364688645,-4.8,22.22,0.0,0.0,0.0,90.0
50,0.51,car.forward,295.5679814707805,-4.8,22.22,0.0,0.0,0.0,90.0
51,0.52,car.forward,295.7901792946746,-4.8,22.22,0.0,0.0,0.0,90.0
52,0.53,car.forward,296.0123771185686,-4.8,22.22,0.0,0.0,0.0,90.0
53,0.54,car.forward,296.2345749424627,-4.8,22.22,0.0,0.0,0.0,90.0
54,0.55,car.forward,296.4567727663568,-4.8,22.22,0.0,0.0,0.0,90.0
55,0.56,car.forward,296.6789705902508,-4.8,22.22,0.0,0.0,0.0,90.0
56,0.57,car.forward,296.9011684141449,-4.8,22.22,0.0,0.0,0.0,90.0
57,0.58,car.forward,297.12336623803895,-4.8,22.22,0.0,0.0,0.0,90.0
58,0.59,car.forward,297.34556406193303,-4.8,22.22,0.0,0.0,0.0,90.0
59,0.6,car.forward,297.56776188582705,-4.8,22.22,0.0,0.0,0.0,90.0
60,0.61,car.forward,297.78995970972113,-4.8,22.22,0.0,0.0,0.0,90.0
61,0.62,car.forward,298.0121575336152,-4.8,22.22,0.0,0.0,0.0,90.0
62,0.63,car.forward,298.23435535750923,-4.8,22.22,0.0,0.0,0.0,90.0
63,0.64,car.forward,298.4565531814033,-4.8,22.22,0.0,0.0,0.0,90.0
64,0.65,car.forward,298.6787510052974,-4.8,22.22,0.0,0.0,0.0,90.0
65,0.66,car.forward,298.9009488291914,-4.8,22.22,0.0,0.0,0.0,90.0
66,0.67,car.forward,299.1231466530855,-4.8,22.22,0.0,0.0,0.0,90.0
67,0.68,car.forward,299.34534447697956,-4.8,22.22,0.0,0.0,0.0,90.0
68,0.69,car.forward,299.56754230087364,-4.8,22.22,0.0,0.0,0.0,90.0
69,0.7,car.forward,299.78974012476766,-4.8,22.22,0.0,0.0,0.0,90.0
70,0.71,car.forward,300.01193794866174,-4.8,22.22,0.0,0.0,0.0,90.0
71,0.72,car.forward,300.2341357725558,-4.8,22.22,0.0,0.0,0.0,90.0
72,0.73,car.forward,300.45633359644984,-4.8,22.22,0.0,0.0,0.0,90.0
73,0.74,car.forward,300.6785314203439,-4.8,22.22,0.0,0.0,0.0,90.0
74,0.75,car.forward,300.900729244238,-4.8,22.22,0.0,0.0,0.0,90.0
75,0.76,car.forward,301.122927068132,-4.8,22.22,0.0,0.0,0.0,90.0
76,0.77,car.forward,301.3451248920261,-4.8,22.22,0.0,0.0,0.0,90.0
77,0.78,car.forward,301.56732271592017,-4.8,22.22,0.0,0.0,0.0,90.0
