,time,vehicle_id,x,y,v_x,v_y,a_x,a_y,heading_angle
0,0.01,car.leftforward2,274.55329762473883,-1.6,22.22,0.0,0.0,0.0,90.0
1,0.02,car.leftforward2,274.7754954486329,-1.6,22.22,0.0,0.0,0.0,90.0
2,0.03,car.leftforward2,274.997693272527,-1.6,22.22,0.0,0.0,0.0,90.0
3,0.04,car.leftforward2,275.219891096421,-1.6,22.22,0.0,0.0,0.0,90.0
4,0.05,car.leftforward2,275.4420889203151,-1.6,22.22,0.0,0.0,0.0,90.0
5,0.06,car.leftforward2,275.66428674420916,-1.6,22.22,0.0,0.0,0.0,90.0
6,0.07,car.leftforward2,275.88648456810324,-1.6,22.22,0.0,0.0,0.0,90.0
7,0.08,car.leftforward2,276.10868239199726,-1.6,22.22,0.0,0.0,0.0,90.0
8,0.09,car.leftforward2,276.33088021589134,-1.6,22.22,0.0,0.0,0.0,90.0
9,0.1,car.leftforward2,276.5530780397854,-1.6,22.22,0.0,0.0,0.0,90.0
10,0.11,car.leftforward2,276.77527586367944,-1.6,22.22,0.0,0.0,0.0,90.0
11,0.12,car.leftforward2,276.9974736875735,-1.6,22.22,0.0,0.0,0.0,90.0
12,0.13,car.leftforward2,277.2196715114676,-1.6,22.22,0.0,0.0,0.0,90.0
13,0.14,car.leftforward2,277.4418693353616,-1.6,22.22,0.0,0.0,0.0,90.0
14,0.15,car.leftforward2,277.6640671592557,-1.6,22.22,0.0,0.0,0.0,90.0
15,0.16,car.leftforward2,277.8862649831498,-1.6,22.22,0.0,0.0,0.0,90.0
16,0.17,car.leftforward2,278.1084628070438,-1.6,22.22,0.0,0.0,0.0,90.0
17,0.18,car.leftforward2,278.33066063093787,-1.6,22.22,0.0,0.0,0.0,90.0
18,0.19,car.leftforward2,278.55285845483195,-1.6,22.22,0.0,0.0,0.0,90.0
19,0.2,car.leftforward2,278.775056278726,-1.6,22.22,0.0,0.0,0.0,90.0
20,0.21,car.leftforward2,278.99725410262005,-1.6,22.22,0.0,0.0,0.0,90.0
21,0.22,car.leftforward2,279.2194519265141,-1.6,22.22,0.0,0.0,0.0,90.0
22,0.23,car.leftforward2,279.4416497504082,-1.6,22.22,0.0,0.0,0.0,90.0
23,0.24,car.leftforward2,279.6638475743022,-1.6,22.22,0.0,0.0,0.0,90.0
24,0.25,car.leftforward2,279.8860453981963,-1.6,22.22,0.0,0.0,0.0,90.0
25,0.26,car.leftforward2,280.1082432220904,-1.6,22.22,0.0,0.0,0.0,90.0
