,time,vehicle_id,x,y,v_x,v_y,a_x,a_y,heading_angle
0,0.01,car.rightforward2,255.1815457394717,-8.0,22.22,0.0,0.0,0.0,90.0
1,0.02,car.rightforward2,255.40374356336577,-8.0,22.22,0.0,0.0,0.0,90.0
2,0.03,car.rightforward2,255.62594138725984,-8.0,22.22,0.0,0.0,0.0,90.0
3,0.04,car.rightforward2,255.84813921115386,-8.0,22.22,0.0,0.0,0.0,90.0
4,0.05,car.rightforward2,256.07033703504794,-8.0,22.22,0.0,0.0,0.0,90.0
5,0.06,car.rightforward2,256.292534858942,-8.0,22.22,0.0,0.0,0.0,90.0
6,0.07,car.rightforward2,256.51473268283604,-8.0,22.22,0.0,0.0,0.0,90.0
7,0.08,car.rightforward2,256.7369305067301,-8.0,22.22,0.0,0.0,0.0,90.0
8,0.09,car.rightforward2,256.9591283306242,-8.0,22.22,0.0,0.0,0.0,90.0
9,0.1,car.rightforward2,257.1813261545182,-8.0,22.22,0.0,0.0,0.0,90.0
10,0.11,car.rightforward2,257.4035239784123,-8.0,22.22,0.0,0.0,0.0,90.0
11,0.12,car.rightforward2,257.6257218023064,-8.0,22.22,0.0,0.0,0.0,90.0
12,0.13,car.rightforward2,257.84791962620045,-8.0,22.22,0.0,0.0,0.0,90.0
13,0.14,car.rightforward2,258.0701174500945,-8.0,22.22,0.0,0.0,0.0,90.0
14,0.15,car.rightforward2,258.29231527398855,-8.0,22.22,0.0,0.0,0.0,90.0
15,0.16,car.rightforward2,258.5145130978826,-8.0,22.22,0.0,0.0,0.0,90.0
16,0.17,car.rightforward2,258.73671092177665,-8.0,22.22,0.0,0.0,0.0,90.0
17,0.18,car.rightforward2,258.9589087456707,-8.0,22.22,0.0,0.0,0.0,90.0
18,0.19,car.rightforward2,259.1811065695648,-8.0,22.22,0.0,0.0,0.0,90.0
19,0.2,car.rightforward2,259.4033043934588,-8.0,22.22,0.0,0.0,0.0,90.0
20,0.21,car.rightforward2,259.6255022173529,-8.0,22.22,0.0,0.0,0.0,90.0
21,0.22,car.rightforward2,259.847700041247,-8.0,22.22,0.0,0.0,0.0,90.0
22,0.23,car.rightforward2,260.06989786514106,-8.0,22.22,0.0,0.0,0.0,90.0
23,0.24,car.rightforward2,260.2920956890351,-8.0,22.22,0.0,0.0,0.0,90.0
24,0.25,car.rightforward2,260.51429351292916,-8.0,22.22,0.0,0.0,0.0,90.0
25,0.26,car.rightforward2,260.73649133682324,-8.0,22.22,0.0,0.0,0.0,90.0
26,0.27,car.rightforward2,260.95868916071726,-8.0,22.22,0.0,0.0,0.0,90.0
27,0.28,car.rightforward2,261.18088698461133,-8.0,22.22,0.0,0.0,0.0,90.0
28,0.29,car.rightforward2,261.4030848085054,-8.0,22.22,0.0,0.0,0.0,90.0
29,0.3,car.rightforward2,261.62528263239943,-8.0,22.22,0.0,0.0,0.0,90.0
30,0.31,car.rightforward2,261.8474804562935,-8.0,22.22,0.0,0.0,0.0,90.0
31,0.32,car.rightforward2,262.0696782801876,-8.0,22.22,0.0,0.0,0.0,90.0
32,0.33,car.rightforward2,262.2918761040816,-8.0,22.22,0.0,0.0,0.0,90.0
33,0.34,car.rightforward2,262.5140739279757,-8.0,22.22,0.0,0.0,0.0,90.0
34,0.35,car.rightforward2,262.73627175186977,-8.0,22.22,0.0,0.0,0.0,90.0
35,0.36,car.rightforward2,262.95846957576384,-8.0,22.22,0.0,0.0,0.0,90.0
36,0.37,car.rightforward2,263.18066739965786,-8.0,22.22,0.0,0.0,0.0,90.0
37,0.38,car.rightforward2,263.40286522355194,-8.0,22.22,0.0,0.0,0.0,90.0
38,0.39,car.rightforward2,263.625063047446,-8.0,22.22,0.0,0.0,0.0,90.0
39,0.4,car.rightforward2,263.84726087134004,-8.0,22.22,0.0,0.0,0.0,90.0
40,0.41,car.rightforward2,264.0694586952341,-8.0,22.22,0.0,0.0,0.0,90.0
41,0.42,car.rightforward2,264.2916565191282,-8.0,22.22,0.0,0.0,0.0,90.0
