,time,vehicle_id,x,y,v_x,v_y,a_x,a_y,heading_angle
0,0.01,car.rightrear1,149.96246358008577,-8.0,22.22,0.0,0.0,0.0,90.0
1,0.02,car.rightrear1,150.18472137117573,-8.0,22.22599677831887,0.0,0.5996778318870355,0.0,90.0
2,0.03,car.rightrear1,150.40703874136494,-8.0,22.231954746591587,0.0,0.5957968272717551,0.0,90.0
3,0.04,car.rightrear1,150.6294153004783,-8.0,22.23787369697512,0.0,0.5918950383534849,0.0,90.0
4,0.05,car.rightrear1,150.85185065629713,-8.0,22.243753425104046,0.0,0.5879728128924455,0.0,90.0
5,0.06,car.rightrear1,151.07434441459358,-8.0,22.249593730061513,0.0,0.5840304957466458,0.0,90.0
6,0.07,car.rightrear1,151.29689617916483,-8.0,22.255394414350423,0.0,0.5800684288910674,0.0,90.0
7,0.08,car.rightrear1,151.51950555186704,-8.0,22.261155283864785,0.0,0.5760869514361389,0.0,90.0
8,0.09,car.rightrear1,151.74217213264893,-8.0,22.26687614786124,0.0,0.5720863996454995,0.0,90.0
9,0.1,car.rightrear1,151.96489551958518,-8.0,22.2725568189308,0.0,0.568067106955894,0.0,90.0
10,0.11,car.rightrear1,152.18767530890943,-8.0,22.27819711297076,0.0,0.5640294039960025,0.0,90.0
11,0.12,car.rightrear1,152.41051109504718,-8.0,22.283796849156793,0.0,0.5599736186034932,0.0,90.0
12,0.13,car.rightrear1,152.63340247064806,-8.0,22.289355849915232,0.0,0.5559000758438515,0.0,90.0
13,0.14,car.rightrear1,152.85634902661835,-8.0,22.294873940895524,0.0,0.5518090980292101,0.0,90.0
14,0.15,car.rightrear1,153.07935035215272,-8.0,22.300350950942878,0.0,0.5477010047354014,0.0,90.0
15,0.16,car.rightrear1,153.30240603476602,-8.0,22.305786712071086,0.0,0.5435761128207872,0.0,90.0
16,0.17,car.rightrear1,153.5255156603247,-8.0,22.31118105943553,0.0,0.5394347364443774,0.0,90.0
17,0.18,car.rightrear1,153.74867881307782,-8.0,22.316533831306355,0.0,0.5352771870825279,0.0,90.0
18,0.19,car.rightrear1,153.97189507568817,-8.0,22.321844869041826,0.0,0.5311037735470592,0.0,90.0
19,0.2,car.rightrear1,154.1951640292627,-8.0,22.327114017061866,0.0,0.5269148020040859,0.0,90.0
20,0.21,car.rightrear1,154.41848525338293,-8.0,22.332341122821756,0.0,0.5227105759889383,0.0,90.0
21,0.22,car.rightrear1,154.641858326135,-8.0,22.337526036786024,0.0,0.5184913964267679,0.0,90.0
22,0.23,car.rightrear1,154.86528282413963,-8.0,22.34266861240249,0.0,0.5142575616467582,0.0,90.0
23,0.24,car.rightrear1,155.08875832258147,-8.0,22.347768706076508,0.0,0.5100093674016648,0.0,90.0
24,0.25,car.rightrear1,155.31228439523872,-8.0,22.352826177145342,0.0,0.5057471068834474,0.0,90.0
25,0.26,car.rightrear1,155.53586061451193,-8.0,22.357840887852756,0.0,0.5014710707413883,0.0,90.0
26,0.27,car.rightrear1,155.75948655145294,-8.0,22.362812703323737,0.0,0.49718154709808005,0.0,90.0
27,0.28,car.rightrear1,155.9831617757934,-8.0,22.3677414915394,0.0,0.4928788215664781,0.0,90.0
28,0.29,car.rightrear1,156.20688585597316,-8.0,22.37262712331207,0.0,0.4885631772669541,0.0,90.0
29,0.3,car.rightrear1,156.43065835916812,-8.0,22.37746947226051,0.0,0.4842348948439934,0.0,90.0
30,0.31,car.rightrear1,156.65447885131834,-8.0,22.382268414785333,0.0,0.47989425248218254,0.0,90.0
31,0.32,car.rightrear1,156.8783468971555,-8.0,22.38702383004456,0.0,0.4755415259225515,0.0,90.0
32,0.33,car.rightrear1,157.10226206022998,-8.0,22.391735599929355,0.0,0.47117698847962686,0.0,90.0
33,0.34,car.rightrear1,157.32622390293847,-8.0,22.396403609039936,0.0,0.4668009110581295,0.0,90.0
34,0.35,car.rightrear1,157.55023198655027,-8.0,22.401027744661604,0.0,0.46241356216683016,0.0,90.0
35,0.36,car.rightrear1,157.77428587123433,-8.0,22.405607896740975,0.0,0.45801520793702366,0.0,90.0
36,0.37,car.rightrear1,157.99838511608533,-8.0,22.410143957862353,0.0,0.45360611213780544,0.0,90.0
37,0.38,car.rightrear1,158.22252927915008,-8.0,22.414635823224263,0.0,0.449186536190993,0.0,90.0
38,0.39,car.rightrear1,158.44671791745319,-8.0,22.419083390616148,0.0,0.4447567391885343,0.0,90.0
39,0.4,car.rightrear1,158.67095058702284,-8.0,22.423486560395215,0.0,0.4403169779067184,0.0,90.0
40,0.41,car.rightrear1,158.89522684291632,-8.0,22.42784523546344,0.0,0.4358675068225182,0.0,90.0
41,0.42,car.rightrear1,159.1195462392451,-8.0,22.432159321244733,0.0,0.43140857812922206,0.0,90.0
42,0.43,car.rightrear1,159.34390832919996,-8.0,22.43642872566225,0.0,0.42694044175171086,0.0,90.0
43,0.44,car.rightrear1,159.5683126650756,-8.0,22.44065335911586,0.0,0.4224633453610238,0.0,90.0
44,0.45,car.rightrear1,159.79275879829532,-8.0,22.444833134459778,0.0,0.4179775343917669,0.0,90.0
45,0.46,car.rightrear1,160.01724627943534,-8.0,22.44896796698032,0.0,0.413483252054192,0.0,90.0
46,0.47,car.rightrear1,160.24177465824874,-8.0,22.453057774373843,0.0,0.40898073935231594,0.0,90.0
47,0.48,car.rightrear1,160.4663434836895,-8.0,22.457102476724813,0.0,0.40447023509706526,0.0,90.0
48,0.49,car.rightrear1,160.69095230393623,-8.0,22.46110199648402,0.0,0.39995197592084253,0.0,90.0
49,0.5,car.rightrear1,160.9156006664153,-8.0,22.465056258446968,0.0,0.3954261962945793,0.0,90.0
50,0.51,car.rightrear1,161.1402881178244,-8.0,22.46896518973237,0.0,0.39089312854017066,0.0,90.0
51,0.52,car.rightrear1,161.36501420415541,-8.0,22.47282871976083,0.0,0.3863530028461071,0.0,90.0
52,0.53,car.rightrear1,161.58977847071725,-8.0,22.476646780233654,0.0,0.38180604728239587,0.0,90.0
53,0.54,car.rightrear1,161.81458046215837,-8.0,22.48041930511179,0.0,0.37725248781370624,0.0,90.0
54,0.55,car.rightrear1,162.03941972248936,-8.0,22.484146230594945,0.0,0.3726925483153565,0.0,90.0
55,0.56,car.rightrear1,162.26429579510486,-8.0,22.487827495100817,0.0,0.36812645058716953,0.0,90.0
56,0.57,car.rightrear1,162.48920822280576,-8.0,22.491463039244483,0.0,0.36355441436661806,0.0,90.0
57,0.58,car.rightrear1,162.71415654782083,-8.0,22.49505280581793,0.0,0.35897665734481166,0.0,90.0
58,0.59,car.rightrear1,162.93914031182837,-8.0,22.498596739769713,0.0,0.35439339517822077,0.0,90.0
59,0.6,car.rightrear1,163.16415905597745,-8.0,22.50209478818477,0.0,0.34980484150572977,0.0,90.0
60,0.61,car.rightrear1,163.38921232090928,-8.0,22.505546900264363,0.0,0.34521120795929505,0.0,90.0
61,0.62,car.rightrear1,163.6142996467779,-8.0,22.508953027306166,0.0,0.34061270418028755,0.0,90.0
62,0.63,car.rightrear1,163.8394205732713,-8.0,22.512313122684485,0.0,0.3360095378319272,0.0,90.0
63,0.64,car.rightrear1,164.06457463963153,-8.0,22.515627141830613,0.0,0.33140191461278334,0.0,90.0
64,0.65,car.rightrear1,164.28976138467561,-8.0,22.518895042213334,0.0,0.3267900382720512,0.0,90.0
65,0.66,car.rightrear1,164.5149803468152,-8.0,22.522116783319543,0.0,0.32217411062092083,0.0,90.0
66,0.67,car.rightrear1,164.74023106407697,-8.0,22.52529232663501,0.0,0.3175543315467877,0.0,90.0
67,0.68,car.rightrear1,164.96551307412216,-8.0,22.52842163562529,0.0,0.312930899027819,0.0,90.0
68,0.69,car.rightrear1,165.19082591426633,-8.0,22.531504675716725,0.0,0.3083040091436118,0.0,90.0
69,0.7,car.rightrear1,165.41616912149868,-8.0,22.53454141427764,0.0,0.3036738560915353,0.0,90.0
70,0.71,car.rightrear1,165.64154223250142,-8.0,22.53753182059961,0.0,0.29904063219703403,0.0,90.0
71,0.72,car.rightrear1,165.8669447836686,-8.0,22.5404758658789,0.0,0.29440452792890426,0.0,90.0
72,0.73,car.rightrear1,166.09237631112524,-8.0,22.543373523198,0.0,0.28976573190995225,0.0,90.0
73,0.74,car.rightrear1,166.31783635074567,-8.0,22.546224767507322,0.0,0.2851244309322709,0.0,90.0
74,0.75,car.rightrear1,166.54332443817248,-8.0,22.549029575607005,0.0,0.2804808099682532,0.0,90.0
75,0.76,car.rightrear1,166.76884010883433,-8.0,22.551787926128853,0.0,0.275835052184803,0.0,90.0
76,0.77,car.rightrear1,166.9943828979645,-8.0,22.554499799518396,0.0,0.27118733895434843,0.0,90.0
77,0.78,car.rightrear1,167.21995234061862,-8.0,22.557165178017083,0.0,0.26653784986869766,0.0,90.0
