,episode,total_reward
0,0,-44.415000000000006
1,1,12.640000000000015
2,2,-39.229999999999976
3,3,-33.38499999999996
4,4,-72.12500000000006
5,5,-202.535
6,6,97.363
7,7,97.114
8,8,96.865
9,9,96.616
10,10,96.367
11,11,96.118
12,12,95.869
13,13,95.62
14,14,95.371
15,15,95.122
16,16,94.873
17,17,94.624
18,18,94.375
19,19,94.126
20,20,93.877
21,21,93.628
22,22,93.379
23,23,93.13
24,24,92.881
25,25,92.632
26,26,92.383
27,27,92.134
28,28,91.885
29,29,91.636
30,30,91.386
31,31,91.137
32,32,90.888
33,33,90.639
34,34,90.39
35,35,90.141
36,36,89.892
37,37,89.642
38,38,89.393
39,39,89.144
40,40,88.895
41,41,88.645
42,42,88.396
43,43,88.146
44,44,87.897
45,45,87.648
46,46,87.399
47,47,87.15
48,48,86.901
49,49,86.651
50,50,86.402
51,51,86.153
52,52,85.904
53,53,85.655
54,54,85.406
55,55,85.157
56,56,84.908
57,57,84.65899999999999
58,58,84.41
59,59,84.161
60,60,83.912
61,61,83.663
62,62,83.414
63,63,83.16499999999999
64,64,82.916
65,65,82.667
66,66,82.418
67,67,82.169
68,68,81.92
69,69,81.67099999999999
70,70,81.422
71,71,81.173
72,72,80.924
73,73,80.675
74,74,80.426
75,75,80.17699999999999
76,76,79.928
77,77,79.679
78,78,79.43
79,79,79.181
80,80,78.932
81,81,78.68299999999999
82,82,78.434
83,83,78.185
84,84,77.936
85,85,77.687
86,86,77.438
87,87,77.189
88,88,76.94
89,89,76.691
90,90,76.44200000000001
91,91,76.193
92,92,75.944
93,93,75.695
94,94,75.446
95,95,75.196
96,96,74.947
97,97,74.69800000000001
98,98,74.449
99,99,74.2
100,100,73.95
101,101,73.701
102,102,73.451
103,103,73.202
104,104,72.953
105,105,72.70400000000001
106,106,72.455
107,107,72.206
108,108,71.957
109,109,71.708
110,110,71.459
111,111,71.209
112,112,70.96000000000001
113,113,70.711
114,114,70.462
115,115,70.213
116,116,69.964
117,117,69.715
118,118,69.46600000000001
119,119,69.217
120,120,68.968
121,121,68.719
122,122,68.47
123,123,68.221
124,124,67.97200000000001
125,125,67.723
126,126,67.47399999999999
127,127,67.225
128,128,66.976
129,129,66.727
130,130,66.47800000000001
131,131,66.229
132,132,65.97999999999999
133,133,65.731
134,134,65.482
135,135,65.233
136,136,64.98400000000001
137,137,64.735
138,138,64.48599999999999
139,139,64.237
140,140,63.988
141,141,63.739
142,142,63.49
143,143,63.241
144,144,62.992
145,145,62.743
146,146,62.494
147,147,62.245
148,148,61.996
149,149,61.747
150,150,61.498
151,151,61.249
152,152,61.0
153,153,60.751
154,154,60.502
155,155,60.253
156,156,60.004
157,157,59.755
158,158,59.506
159,159,59.257
160,160,59.008
161,161,58.759
162,162,58.51
163,163,58.260999999999996
164,164,58.012
165,165,57.763
166,166,57.513
167,167,57.263999999999996
168,168,57.015
169,169,56.766
170,170,56.516999999999996
171,171,56.268
172,172,56.019
173,173,55.769999999999996
174,174,55.521
175,175,55.272
176,176,55.022999999999996
177,177,54.774
178,178,54.525
179,179,54.275999999999996
180,180,54.027
181,181,53.778
182,182,53.528999999999996
183,183,53.28
184,184,53.031
185,185,52.782
186,186,52.533
187,187,52.284
188,188,52.035
189,189,51.786
190,190,51.537
191,191,51.288
192,192,51.039
193,193,50.79
194,194,50.541
195,195,50.292
196,196,50.043
197,197,49.794
198,198,49.545
199,199,49.296
200,200,49.047
201,201,48.798
202,202,48.549
